unit_id,page,section_path,table_name,row_header,unit,unit_type,text
annual_cscec_2025_report_field_001386,10,重要提示 > 十一、 其他,十一、 其他,现金红利,,financial_field,度公司现金分红占合并报表归属于上市公司股东净利润的比例为28.75%。如在实施权益分派股权；提交公司2025年年度股东会审议批准。；适用 不适用；六、；前瞻性陈述的风险声明；适用 不适用
annual_cscec_2025_report_field_001387,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,营业收入,千元,financial_field,"营业收入；2,082,141,811；2,187,334,286；2,187,147,839；-4.8；2,265,529,244"
annual_cscec_2025_report_field_001388,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,利润总额,千元,financial_field,"利润总额；70,221,649；80,046,319；80,036,950；-12.3；92,995,473"
annual_cscec_2025_report_field_001389,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,归属于上市公司股东的净利润,千元,financial_field,"归属于上市公司股东的净利润；39,069,002；46,193,694；46,187,099；-15.4；54,264,173；归属于上市公司股东的扣除非经常性；损益的净利润；31,934,462；41,579,271"
annual_cscec_2025_report_field_001390,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,经营活动产生的现金流量净额,千元,financial_field,"经营活动产生的现金流量净额；20,537,132；15,825,793；15,773,535；29.8；11,030,123；2024年末；本期末比上年；2025年末；2023年末"
annual_cscec_2025_report_field_001391,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,归属于上市公司股东的净资产,千元,financial_field,"归属于上市公司股东的净资产；491,555,607；462,498,099；462,184,659；6.3；427,609,892"
annual_cscec_2025_report_field_001392,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,总资产,千元,financial_field,"总资产；3,560,679,818；3,189,774,343；3,189,262,063；11.6；2,903,322,519"
annual_cscec_2025_report_field_001393,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,期末总股本,千元,financial_field,"期末总股本；41,320,390；41,610,322；41,610,322；-0.7；41,919,514"
annual_cscec_2025_report_field_001394,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,基本每股收益,千元,financial_field,基本每股收益（元／股）；0.94；1.11；1.11；-15.3；1.31
annual_cscec_2025_report_field_001395,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,稀释每股收益,千元,financial_field,稀释每股收益（元／股）；0.94；1.11；1.11；-15.3；1.31
annual_cscec_2025_report_field_001396,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,基本每股收益,千元,financial_field,扣除非经常性损益后的基本每股收益；（元／股）；0.77；1.00；1.00；-23.0；1.17；减少2.21个
annual_cscec_2025_report_field_001397,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,加权平均净资产收益率,千元,financial_field,加权平均净资产收益率（%）；百分点；8.15；10.36；10.37；13.36；扣除非经常性损益后的加权平均净资产；减少2.68个；收益率（%）；百分点
annual_cscec_2025_report_field_001398,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,现金红利,千元,financial_field,每10股派息金额（元）；2.718；2.715；2.715；0.1；2.7145；适用 不适用；中扣减。
annual_cscec_2025_report_field_001399,13,第二节 公司简介和主要财务指标 > 七、 近三年主要会计数据和财务指标 > （二） 主要财务指标,主要财务指标,归属于上市公司股东的净利润,千元,financial_field,"② 按照相关会计准则规定,计算每股收益时,归属于上市公司股东的净利润将扣除优先股、永续债等；其他权益工具的股利或利息及限制性股票的影响。；2025 年年度报告；9"
annual_cscec_2025_report_field_001400,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,现金红利,千元,financial_field,④ 派息金额含税。；敬请参阅本报告第八节“财务报告”财务报表附注五、68“每股收益”、管理层补充资料二“净资产收益率和；每股收益”等相关内容。
annual_cscec_2025_report_field_001401,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,营业收入,千元,financial_field,"营业收入；555,342,204；552,965,231；449,912,446；523,921,930"
annual_cscec_2025_report_field_001402,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,归属于上市公司股东的净利润,千元,financial_field,"归属于上市公司股东的净利润；15,013,469；15,390,884；7,778,049；886,600；归属于上市公司股东的扣除非经常性；损益后的净利润；14,850,075；12,648,002；7,702,482"
annual_cscec_2025_report_field_001403,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,经营活动产生的现金流量净额,千元,financial_field,"经营活动产生的现金流量净额；-95,852,099；13,021,504；13,351,612；90,016,115；季度数据与已披露定期报告数据差异说明；适用 不适用"
annual_cscec_2025_report_field_001404,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,流动资产,千元,financial_field,"非流动资产处置损益,包括已计提资产减值准备的冲销；部分；290,029；/；561,274；226,075"
annual_cscec_2025_report_field_001405,14,第二节 公司简介和主要财务指标 > 十、 非经常性损益项目和金额,公司简介和主要财务指标,营业收入,千元,financial_field,"营业外收入/；其他收益；427,761；533,043；631,101；公司损益产生持续影响的政府补助除外；分步实现企业合并产生的收益；/；/"
annual_cscec_2025_report_field_001406,15,第二节 公司简介和主要财务指标 > 十三、 其他,十三、 其他,营业收入,千元,financial_field,"除上述各项之外的其他营业外收入和支出；1,225,632；-652,665；-286,227；所得税影响额；-1,899,401；/；-1,467,590；-1,441,995"
annual_cscec_2025_report_field_001407,15,第二节 公司简介和主要财务指标 > 十三、 其他,十三、 其他,所有者权益,千元,financial_field,"少数股东权益影响额（税后）；-510,802；/；-227,051；117,719；合计；7,134,540；/；4,614,423；5,725,504"
annual_cscec_2025_report_field_001408,15,第二节 公司简介和主要财务指标 > 十三、 其他,十三、 其他,流动资产,千元,financial_field,"其他流动资产；853,717；734,594；-119,123；794；853,717；合计；13,778,054；13,392,231；-385,823"
annual_cscec_2025_report_field_001409,21,第三节 管理层讨论与分析 > 二、 报告期内公司所处行业情况,报告期内公司所处行业情况,利率,,financial_field,"化限购限售政策、降低房贷利率和首付比例、减交易税费等,着力激发住房消费需求。二是；优化产品结构、提升核心竞争力与产品力。三是加快推进城市更新行动落地。2025年5月,；式；7月,中央城市工作会议要求高质量开展城市更新,推进土地混合开发利用、用途合理；勘察设计行业深度转型,市场挑战与机遇并存。"
annual_cscec_2025_report_field_001410,21,第三节 管理层讨论与分析 > 二、 报告期内公司所处行业情况,报告期内公司所处行业情况,营业收入,,financial_field,"合同额2,892.2亿美元,增长8.2% ；完成营业额1,788.2亿美元,比上年增长7.7%。二是高；深推进。2025年,我国在共建国家新签承包工程合同额2,579.8亿美元,增长10.8% ；完成；营业额1,526.3亿美元,增长9.3%,占同期对外承包工程总营业额的85%。三是新兴领域成；新动能。；2025 年年度报告；17"
annual_cscec_2025_report_field_001411,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,新签合同额,,financial_field,"报告期内,公司新签合同额4.55万亿元,同比增长1.0% ；实现营业收入2.08万亿元,同比下降4.8% ；；实现归属于上市公司股东的净利润390.7亿元,同比下降15.4% ；经营性净现金流205.4亿元,连续6年；保持正流入。公司位居2025年《财富》世界500强榜单第16位、中国500强榜单第4位,连续入选《财富》；中国ESG影响力榜,位列英国Brand Finance“2025年度中国品牌价值500强”榜单第16位、蝉联行业首；位,《2025中国企业品牌价值TOP100榜单》中排名中央企业第3位。公司持续被纳入中证50、上证50、；富时中国A50、MSCI中国A50互联互通指数等重要指数。总体来看,公司经营发展呈现以下特点：；点区域新签合同额占比为79.9%,完成投资额占比为88.9%。全力服务“两重”“两新”等国家"
annual_cscec_2025_report_field_001412,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,新签合同额,,financial_field,"点区域新签合同额占比为79.9%,完成投资额占比为88.9%。全力服务“两重”“两新”等国家"
annual_cscec_2025_report_field_001413,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,新签合同额,,financial_field,"接和深化合作。报告期内,公司建筑业务保持稳健增长,新签合同额4.2万亿元,着力强化；资源,新增土地储备928万平方米,全部位于一线、二线及省会城市；加强精益建造和科技；及七项工作要求。加快发展城市运营业务,明确12个主要业务分类,设计使用中国建筑城；产业布局地图,2025年公司战略性新兴产业实现营业收入2,629亿元。"
annual_cscec_2025_report_field_001414,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,营业收入,,financial_field,"产业布局地图,2025年公司战略性新兴产业实现营业收入2,629亿元。；中国建筑股份有限公司；18"
annual_cscec_2025_report_field_001415,26,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,新签合同额,亿元,financial_field,"建筑业务新签合同额；地产业务合约销售额；4,514；4,221；4,219；41,510；40,808；4,016；3,948；38,727"
annual_cscec_2025_report_field_001416,26,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,营业收入,亿元,financial_field,"营业收入；归属于上市公司股东的净利润；22,655；21,873；542.6；515.5；20,821；20,551；509.5；461.9"
annual_cscec_2025_report_field_001417,27,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,新签合同额,,financial_field,新签合同额比重；分部收入比重注；58.6%；59.6%；32.4%；26.2%；13.7%；8.7%；0.3%；0.5%
annual_cscec_2025_report_field_001418,27,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,利率,,financial_field,分部毛利率情况；51.9%；18.0%；14.4%；26.8%；9.9%；8.4%；20.4%；房建；基建
annual_cscec_2025_report_field_001419,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),新签合同额,,financial_field,"新签合同总额；45,458；45,027；1.0"
annual_cscec_2025_report_field_001420,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),新签合同额,,financial_field,"（一）期内累计新签合同额；41,510；40,808；1.7；分行业 1. 房屋建筑；26,654；26,516；0.5"
annual_cscec_2025_report_field_001421,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),合约销售额,,financial_field,"（一）期内合约销售额；3,948；4,219；-6.4；亿元人民币；其中：中海地产①；2,190；2,706；-19.0"
annual_cscec_2025_report_field_001422,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),合约销售面积,,financial_field,"（二）期内合约销售面积；1,509；1,461；3.3；万平方米；其中：中海地产；762；800；-4.7"
annual_cscec_2025_report_field_001423,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),合约销售额,,financial_field,（三）期末认购销售额；亿元人民币；123；144；-14.6
annual_cscec_2025_report_field_001424,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),土地储备,,financial_field,"（五）期末土地储备②(全额数)；6,961；7,718；-9.8；万平方米；其中：中海地产；2,528；2,877；-12.1"
annual_cscec_2025_report_field_001425,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),土地储备,,financial_field,（六）购置土地储备(全额数)；928；882；5.2；万平方米；其中：中海地产；499；416；20.0
annual_cscec_2025_report_field_001426,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),土地储备,,financial_field,②期末土地储备=上年末土地储备 + 新购置土地储备 - 本期竣工面积 +（或-）项目调整面积。；中国建筑股份有限公司；24
annual_cscec_2025_report_field_001427,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,营业收入,千元,financial_field,"营业收入；2,082,141,811；2,187,334,286；-4.8；营业成本；1,876,058,765；1,971,708,426；-4.9；销售费用；9,038,614"
annual_cscec_2025_report_field_001428,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,研发投入,千元,financial_field,"研发费用；44,009,417；45,464,667；-3.2"
annual_cscec_2025_report_field_001429,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,经营活动产生的现金流量净额,千元,financial_field,"经营活动产生的现金流量净额；20,537,132；15,825,793；29.8；投资活动产生的现金流量净额；╱；-32,150,028；-2,531,054；筹资活动产生的现金流量净额；11,579,358"
annual_cscec_2025_report_field_001430,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,研发投入,千元,financial_field,"研发费用变动原因说明：主要是公司不断健全研发投入机制,优化研发投入结构,提升投入产出效率。；较好现金流水平。；他营业单位支付的现金净额增加所致。；适用 不适用；中国建筑股份有限公司；28"
annual_cscec_2025_report_field_001431,33,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,营业收入,千元,financial_field,"2. 收入和成本分析；适用 不适用；2025年,公司实现营业收入20,821亿元,同比减少4.8% ；发生营业成本18,761亿元,同比减少4.9%。；公司实现毛利润2,060亿元,同比降低4.4% ；毛利率9.9%,与上年同期持平。；收入确认方法等敬请参阅本报告第八节“财务报告”所附财务报表附注三、25“与客户之间的合同产生的收；入”相关内容。；(1). 主营业务分行业、分产品、分地区情况；单位：千元 币种：人民币；主营业务分行业情况"
annual_cscec_2025_report_field_001432,33,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,利率,千元,financial_field,"毛利率（%）；上年同期增减；上年同期增减；同期增减（%）；（%）；（%）；房屋建筑工程；增加1.0个百分点；1,234,205,792；1,129,949,766"
annual_cscec_2025_report_field_001433,33,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,利率,千元,financial_field,"毛利率（%）；上年同期增减；上年同期增减；同期增减（%）；（%）；（%）；境内；增加0.3个百分点；1,940,443,514；1,738,347,534"
annual_cscec_2025_report_field_001434,33,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,营业收入,千元,financial_field,近三年营业收入及占比情况；占比；2024年；占比；占比；分行业；2025年；2023年；（调整后）；(%)
annual_cscec_2025_report_field_001435,34,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,千元,financial_field,"新签合同额；•；26,654 亿元；房建业务稳固领先优势。报告期内,公司房建业务新签合同额26,654；亿元,同比增长0.5% ；实现营业收入12,342亿元,同比下降6.6% ；；实现毛利1,042.6亿元,同比增长6.5%。"
annual_cscec_2025_report_field_001436,34,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,营业收入,千元,financial_field,"营业收入；12,342 亿元；同额占比持续提升,住宅业务新签合同额占比下降至20.0%。从细分；领域看,工业厂房新签合同额8,885亿元,同比增长23.1%,合同额；占比33.3% ；承接了一批半导体、新能源、电子及通信、生物医药、；毛利；设施新签合同额4,225亿元,其中教育设施新签合同额1,813亿元,医"
annual_cscec_2025_report_field_001437,34,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,千元,financial_field,"设施新签合同额4,225亿元,其中教育设施新签合同额1,813亿元,医；1,042.6 亿元；疗建筑新签合同额1,292亿元；承接北京邮电大学沙河校区计算机学；助力推进公共服务设施升级。商业综合新签合同额3,786亿元,承接；广东东莞时代金融中心、温州市核心片区商务中心单元F-02地块等项"
annual_cscec_2025_report_field_001438,35,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,亿元,financial_field,房建业务细分领域新签合同额情况；单位：亿元 币种：人民币；序号；一级类别；二级类别；2025年；2024年；同比增长（%）；住宅；商品房等
annual_cscec_2025_report_field_001439,36,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,千元,financial_field,"新签合同额；基础设施建设与投资业务；•；14,728 亿元；基建业务持续稳健增长。报告期内,公司基建业务新签合同额14,728；亿元,同比增长4.1% ；实现营业收入5,432亿元,同比下降1.4% ；实；现毛利537.6亿元,同比下降2.7%。"
annual_cscec_2025_report_field_001440,36,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,营业收入,千元,financial_field,"营业收入；运等领域保持快速增长,能源工程新签合同占比上升至39.9%。从细；5,432 亿元；分领域看,能源工程新签合同额5,870亿元,同比增长17.2% ；在新；代表的能源工程项目。市政工程新签合同额2,611亿元,承接湖北武；毛利；等。交通运输工程新签合同额2,060亿元,承接弋阳至南丰高速公路"
annual_cscec_2025_report_field_001441,36,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,千元,financial_field,"等。交通运输工程新签合同额2,060亿元,承接弋阳至南丰高速公路；537.6 亿元；新建工程特许经营项目施工总承包、G85银昆高速、G93成渝地区环；区东方枢纽上海东站站前区A3-01地块新建工程等项目。水务及环保；新签合同额1,569亿元,承接山东日照市东港区涛雒镇海洋生态保护；与渔业融合发展EOD项目等。水利水运新签合同额721亿元,同比增；长32.4%,签约江苏连云港抽水蓄能电站业主营地建设工程、潍坊港；中港区5万吨级航道工程施工四标段等项目。"
annual_cscec_2025_report_field_001442,37,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,亿元,financial_field,基建业务细分领域新签合同额情况；单位：亿元 币种：人民币；序号；一级类别；二级类别；2025年；2024年；同比增长（%）；市政工程；市政道路、邮电通讯工程、防卫防灾工程等
annual_cscec_2025_report_field_001443,38,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,合约销售额,千元,financial_field,"合约销售额；房地产开发与投资业务；•；3,948 亿元；地产业务塑强竞争优势。报告期内,公司地产业务合约销售额3,948；亿元,同比下降6.4% ；合约销售面积1,509 万平方米,同比增长；3.3% ；实现营业收入2,844亿元,同比下降7.2% ；实现毛利410.3亿；元,同比下降22.5%。"
annual_cscec_2025_report_field_001444,38,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,营业收入,千元,financial_field,"营业收入；2,844 亿元"
annual_cscec_2025_report_field_001445,38,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,合约销售额,千元,financial_field,"下中海地产权益销售额、新增购地金额位居行业前列,中建壹品、中；毛利；410.3 亿元；院等项目持续热销。；公司全年新购置土地88宗,期末土地储备6,961万平方米,新增土地；储备928万平方米,总购地金额1,892亿元。新增土地储备全部位于"
annual_cscec_2025_report_field_001446,38,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,土地储备,千元,financial_field,"储备928万平方米,总购地金额1,892亿元。新增土地储备全部位于；产新购置土地35宗,新增土地储备499万平方米,购地金额1,187亿；元；中建地产新购置土地53宗,新增土地储备429万平方米,购地金；额705亿元。报告期内,公司实现房地产项目新开工面积975万平方；米,同比下降7.2% ；竣工面积1,622万平方米,同比下降0.6% ；在建；面积5,036万平方米,同比下降11.1%。；北京紫京宸园项目；中国建筑股份有限公司；34"
annual_cscec_2025_report_field_001447,39,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,总资产,千元,financial_field,"值1,567亿元,占公司总资产4.4%。区域分布上,持有型物业主要集中分布在一、二线城市及经济发达；城市,其中上海、北京、广东三大地区持有型物业净值占比超过50%。报告期内,公司依托商业、养；产组合,有效激发资产潜能,实现经营效益稳健增长,年内持有型物业实现收入76.9亿元。；敬请参阅本报告第八节“财务报告”财务报表附注五、8“存货”中“房地产开发成本”“房地产开发产品”、附；注五、32“合同负债”中“预售房产款”等相关内容。"
annual_cscec_2025_report_field_001448,39,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,土地储备,千元,financial_field,新增土地储备前十大城市；总建筑面积；序号；所在城市；购地金额（亿元）；金额占比（%）；规模占比（%）；（万平方米）；上海；1
annual_cscec_2025_report_field_001449,40,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,千元,financial_field,"勘察设计业务转型发展。报告期内,公司勘察设计业务新签合同额128亿元,同比下降10.0% ；实；现营业收入102亿元,同比下降6.0% ；实现毛利18.3亿元,同比下降19.4%。；计项目等。"
annual_cscec_2025_report_field_001450,40,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,新签合同额,千元,financial_field,"提升,境外业务新签合同额2,550亿元,同比增长15.2%,其中建筑业务新签合同额2,257亿元,；同比增长6.9% ；实现境外营业收入1,417亿元,同比增长19.4% ；实现毛利39.9亿元,同比下降；32.5%。；尼西亚巴淡岛数据中心、阿尔及利亚图古尔特省153兆瓦光伏发电站等项目。；中国建筑股份有限公司；36"
annual_cscec_2025_report_field_001451,41,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,营业收入,千元,financial_field,"公司其他业务主要为经营土地一级开发、机械设备租赁、工程监理等收入。报告期内,实现营业；收入401.6亿元,同比增长18.2% ；实现毛利59.9亿元,毛利率为14.9%,同比下降9.5个百分点。；敬请参阅本报告第八节“财务报告”财务报表附注五53、“营业收入和营业成本”、附注五66、“费用；按性质分类”、附注十五、1“分部报告”相关内容。；2025 年年度报告；37"
annual_cscec_2025_report_field_001452,43,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,合约销售额,亿元,financial_field,"前五名客户销售额478.5亿元,占年度全部销售总额2.3% ；其中前五名客户销售额中关联方销售额0亿；元,占年度销售总额0%。；报告期内,公司来自前五名供应商的采购金额435.4亿元,占年度采购总额3.0%,其中前五名供应商采；购额中关联方采购额0亿元,占年度采购总额0%。；B. 报告期内向单个客户的销售比例超过总额的50%、前5名客户中存在新增客户的或严重依赖于少数客；户的情形；适用 不适用；单位：亿元 币种：人民币；占年度销售；序号"
annual_cscec_2025_report_field_001453,43,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,合约销售额,千元,financial_field,销售额；备注；总额比例（%）；华润（集团）有限公司；╱；1；190.1；0.9；中国保利集团有限公司；╱
annual_cscec_2025_report_field_001454,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,"2025年,公司销售费用、管理费用、财务费用及研发费用四项期间费用合计1,046亿元,同比下降；3.5%。四项费用占收入比5.0%,同比增加了0.1个百分点。；敬请参阅本报告第八节“财务报告”财务报表附注五、55“销售费用”、附注五、56“管理费用”、附注五、；57“研发费用”和附注五、58“财务费用”相关内容。"
annual_cscec_2025_report_field_001455,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,57“研发费用”和附注五、58“财务费用”相关内容。
annual_cscec_2025_report_field_001456,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,4. 研发投入；(1). 研发投入情况表；适用 不适用；单位：千元 币种：人民币
annual_cscec_2025_report_field_001457,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,"本期费用化研发投入；44,009,417"
annual_cscec_2025_report_field_001458,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,"研发投入合计；44,009,417"
annual_cscec_2025_report_field_001459,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,研发投入总额占营业收入比例（%）；2.1
annual_cscec_2025_report_field_001460,44,第三节 管理层讨论与分析 > 4. 研发投入,研发投入情况表,研发投入,千元,financial_field,研发投入资本化的比重（%）；╱；中国建筑股份有限公司；40
