field_id,metric,unit,source_page,section_path,table_name,confidence,value_map,source_text
annual_cscec_2025_report_field_beee539d96,所有者权益,千元,15,第二节 公司简介和主要财务指标 > 十三、 其他,十三、 其他,0.68,"{""v1"": ""-510,802"", ""v2"": ""-227,051"", ""v3"": ""117,719"", ""v4"": ""7,134,540"", ""v5"": ""4,614,423"", ""v6"": ""5,725,504""}","少数股东权益影响额（税后）；-510,802；/；-227,051；117,719；合计；7,134,540；/；4,614,423；5,725,504"
annual_cscec_2025_report_field_c9c5825039,流动资产,千元,15,第二节 公司简介和主要财务指标 > 十三、 其他,十三、 其他,0.68,"{""v1"": ""853,717"", ""v2"": ""734,594"", ""v3"": ""-119,123"", ""v4"": ""794"", ""v5"": ""853,717"", ""v6"": ""13,778,054"", ""v7"": ""13,392,231"", ""v8"": ""-385,823""}","其他流动资产；853,717；734,594；-119,123；794；853,717；合计；13,778,054；13,392,231；-385,823"
annual_cscec_2025_report_field_5652acb519,利率,,21,第三节 管理层讨论与分析 > 二、 报告期内公司所处行业情况,报告期内公司所处行业情况,0.63,"{""2025"": ""2025"", ""v1"": ""2025"", ""v2"": ""5"", ""v3"": ""7""}","化限购限售政策、降低房贷利率和首付比例、减交易税费等,着力激发住房消费需求。二是；优化产品结构、提升核心竞争力与产品力。三是加快推进城市更新行动落地。2025年5月,；式；7月,中央城市工作会议要求高质量开展城市更新,推进土地混合开发利用、用途合理；勘察设计行业深度转型,市场挑战与机遇并存。"
annual_cscec_2025_report_field_562c2f07dc,营业收入,,21,第三节 管理层讨论与分析 > 二、 报告期内公司所处行业情况,报告期内公司所处行业情况,0.63,"{""2025"": ""8.2%"", ""v1"": ""2,892.2"", ""v2"": ""8.2%"", ""v3"": ""1,788.2"", ""v4"": ""7.7%"", ""v5"": ""2025"", ""v6"": ""2,579.8"", ""v7"": ""10.8%"", ""v8"": ""1,526.3"", ""v9"": ""9.3%"", ""v10"": ""85%"", ""v11"": ""2025"", ""v12"": ""17""}","合同额2,892.2亿美元,增长8.2% ；完成营业额1,788.2亿美元,比上年增长7.7%。二是高；深推进。2025年,我国在共建国家新签承包工程合同额2,579.8亿美元,增长10.8% ；完成；营业额1,526.3亿美元,增长9.3%,占同期对外承包工程总营业额的85%。三是新兴领域成；新动能。；2025 年年度报告；17"
annual_cscec_2025_report_field_5dd32096d4,新签合同额,,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.63,"{""2025"": ""2.08"", ""v1"": ""4.55"", ""v2"": ""1.0%"", ""v3"": ""2.08"", ""v4"": ""4.8%"", ""v5"": ""390.7"", ""v6"": ""15.4%"", ""v7"": ""205.4"", ""v8"": ""6"", ""v9"": ""2025"", ""v10"": ""500"", ""v11"": ""16"", ""v12"": ""500"", ""v13"": ""4"", ""v14"": ""2025"", ""v15"": ""500"", ""v16"": ""16"", ""v17"": ""2025"", ""v18"": ""100"", ""v19"": ""3"", ""v20"": ""50"", ""v21"": ""50"", ""v22"": ""50"", ""v23"": ""50"", ""v24"": ""79.9%"", ""v25"": ""88.9%""}","报告期内,公司新签合同额4.55万亿元,同比增长1.0% ；实现营业收入2.08万亿元,同比下降4.8% ；；实现归属于上市公司股东的净利润390.7亿元,同比下降15.4% ；经营性净现金流205.4亿元,连续6年；保持正流入。公司位居2025年《财富》世界500强榜单第16位、中国500强榜单第4位,连续入选《财富》；中国ESG影响力榜,位列英国Brand Finance“2025年度中国品牌价值500强”榜单第16位、蝉联行业首；位,《2025中国企业品牌价值TOP100榜单》中排名中央企业第3位。公司持续被纳入中证50、上证50、；富时中国A50、MSCI中国A50互联互通指数等重要指数。总体来看,公司经营发展呈现以下特点：；点区域新签合同额占比为79.9%,完成投资额占比为88.9%。全力服务“两重”“两新”等国家"
annual_cscec_2025_report_field_a5cc5198cd,新签合同额,,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.63,"{""v1"": ""79.9%"", ""v2"": ""88.9%""}","点区域新签合同额占比为79.9%,完成投资额占比为88.9%。全力服务“两重”“两新”等国家"
annual_cscec_2025_report_field_70ed81194e,新签合同额,,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.63,"{""2025"": ""4.2"", ""v1"": ""4.2"", ""v2"": ""928"", ""v3"": ""12"", ""v4"": ""2025"", ""v5"": ""2,629""}","接和深化合作。报告期内,公司建筑业务保持稳健增长,新签合同额4.2万亿元,着力强化；资源,新增土地储备928万平方米,全部位于一线、二线及省会城市；加强精益建造和科技；及七项工作要求。加快发展城市运营业务,明确12个主要业务分类,设计使用中国建筑城；产业布局地图,2025年公司战略性新兴产业实现营业收入2,629亿元。"
annual_cscec_2025_report_field_c701fcf43b,营业收入,,22,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.63,"{""2025"": ""2025"", ""v1"": ""2025"", ""v2"": ""2,629"", ""v3"": ""18""}","产业布局地图,2025年公司战略性新兴产业实现营业收入2,629亿元。；中国建筑股份有限公司；18"
annual_cscec_2025_report_field_b71d058882,新签合同额,亿元,26,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.68,"{""v1"": ""4,514"", ""v2"": ""4,221"", ""v3"": ""4,219"", ""v4"": ""41,510"", ""v5"": ""40,808"", ""v6"": ""4,016"", ""v7"": ""3,948"", ""v8"": ""38,727""}","建筑业务新签合同额；地产业务合约销售额；4,514；4,221；4,219；41,510；40,808；4,016；3,948；38,727"
annual_cscec_2025_report_field_f6e4f04cd2,营业收入,亿元,26,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.68,"{""v1"": ""22,655"", ""v2"": ""21,873"", ""v3"": ""542.6"", ""v4"": ""515.5"", ""v5"": ""20,821"", ""v6"": ""20,551"", ""v7"": ""509.5"", ""v8"": ""461.9""}","营业收入；归属于上市公司股东的净利润；22,655；21,873；542.6；515.5；20,821；20,551；509.5；461.9"
annual_cscec_2025_report_field_48b78c2b5f,新签合同额,,27,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.63,"{""v1"": ""58.6%"", ""v2"": ""59.6%"", ""v3"": ""32.4%"", ""v4"": ""26.2%"", ""v5"": ""13.7%"", ""v6"": ""8.7%"", ""v7"": ""0.3%"", ""v8"": ""0.5%""}",新签合同额比重；分部收入比重注；58.6%；59.6%；32.4%；26.2%；13.7%；8.7%；0.3%；0.5%
annual_cscec_2025_report_field_f104b48a15,利率,,27,第三节 管理层讨论与分析 > 三、 经营情况讨论与分析,经营情况,0.63,"{""v1"": ""51.9%"", ""v2"": ""18.0%"", ""v3"": ""14.4%"", ""v4"": ""26.8%"", ""v5"": ""9.9%"", ""v6"": ""8.4%"", ""v7"": ""20.4%""}",分部毛利率情况；51.9%；18.0%；14.4%；26.8%；9.9%；8.4%；20.4%；房建；基建
annual_cscec_2025_report_field_2e48a055c8,新签合同额,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""45,458"", ""v2"": ""45,027"", ""v3"": ""1.0""}","新签合同总额；45,458；45,027；1.0"
annual_cscec_2025_report_field_02c980293c,新签合同额,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""41,510"", ""v2"": ""40,808"", ""v3"": ""1.7"", ""v4"": ""1"", ""v5"": ""26,654"", ""v6"": ""26,516"", ""v7"": ""0.5""}","（一）期内累计新签合同额；41,510；40,808；1.7；分行业 1. 房屋建筑；26,654；26,516；0.5"
annual_cscec_2025_report_field_efad8d253b,合约销售额,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""3,948"", ""v2"": ""4,219"", ""v3"": ""-6.4"", ""v4"": ""2,190"", ""v5"": ""2,706"", ""v6"": ""-19.0""}","（一）期内合约销售额；3,948；4,219；-6.4；亿元人民币；其中：中海地产①；2,190；2,706；-19.0"
annual_cscec_2025_report_field_f801fc66d0,合约销售面积,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""1,509"", ""v2"": ""1,461"", ""v3"": ""3.3"", ""v4"": ""762"", ""v5"": ""800"", ""v6"": ""-4.7""}","（二）期内合约销售面积；1,509；1,461；3.3；万平方米；其中：中海地产；762；800；-4.7"
annual_cscec_2025_report_field_5ba70ddc9b,合约销售额,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""123"", ""v2"": ""144"", ""v3"": ""-14.6""}",（三）期末认购销售额；亿元人民币；123；144；-14.6
annual_cscec_2025_report_field_c9fd5ec781,土地储备,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""6,961"", ""v2"": ""7,718"", ""v3"": ""-9.8"", ""v4"": ""2,528"", ""v5"": ""2,877"", ""v6"": ""-12.1""}","（五）期末土地储备②(全额数)；6,961；7,718；-9.8；万平方米；其中：中海地产；2,528；2,877；-12.1"
annual_cscec_2025_report_field_b7add16c73,土地储备,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""928"", ""v2"": ""882"", ""v3"": ""5.2"", ""v4"": ""499"", ""v5"": ""416"", ""v6"": ""20.0""}",（六）购置土地储备(全额数)；928；882；5.2；万平方米；其中：中海地产；499；416；20.0
annual_cscec_2025_report_field_5a41c01ef3,土地储备,,28,第三节 管理层讨论与分析 > 二、房地产业务 > （六）购置土地储备(全额数),（六）购置土地储备(全额数),0.63,"{""v1"": ""24""}",②期末土地储备=上年末土地储备 + 新购置土地储备 - 本期竣工面积 +（或-）项目调整面积。；中国建筑股份有限公司；24
annual_cscec_2025_report_field_2a6ae84f5c,营业收入,千元,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,0.68,"{""v1"": ""2,082,141,811"", ""v2"": ""2,187,334,286"", ""v3"": ""-4.8"", ""v4"": ""1,876,058,765"", ""v5"": ""1,971,708,426"", ""v6"": ""-4.9"", ""v7"": ""9,038,614""}","营业收入；2,082,141,811；2,187,334,286；-4.8；营业成本；1,876,058,765；1,971,708,426；-4.9；销售费用；9,038,614"
annual_cscec_2025_report_field_0c2bc2c933,研发投入,千元,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,0.68,"{""v1"": ""44,009,417"", ""v2"": ""45,464,667"", ""v3"": ""-3.2""}","研发费用；44,009,417；45,464,667；-3.2"
annual_cscec_2025_report_field_5a42f5ef5c,经营活动产生的现金流量净额,千元,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,0.68,"{""v1"": ""20,537,132"", ""v2"": ""15,825,793"", ""v3"": ""29.8"", ""v4"": ""-32,150,028"", ""v5"": ""-2,531,054"", ""v6"": ""11,579,358""}","经营活动产生的现金流量净额；20,537,132；15,825,793；29.8；投资活动产生的现金流量净额；╱；-32,150,028；-2,531,054；筹资活动产生的现金流量净额；11,579,358"
annual_cscec_2025_report_field_81c941be99,研发投入,千元,32,第三节 管理层讨论与分析 > 五、 报告期内主要经营情况 > ( 一) 主营业务分析 > 1. 利润表及现金流量表相关科目变动分析表,利润表及现金流量表相关科目变动分析表,0.68,"{""v1"": ""28""}","研发费用变动原因说明：主要是公司不断健全研发投入机制,优化研发投入结构,提升投入产出效率。；较好现金流水平。；他营业单位支付的现金净额增加所致。；适用 不适用；中国建筑股份有限公司；28"
annual_cscec_2025_report_field_b9db4f7c30,营业收入,千元,33,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,0.68,"{""2025"": ""2"", ""v1"": ""2"", ""v2"": ""2025"", ""v3"": ""20,821"", ""v4"": ""4.8%"", ""v5"": ""18,761"", ""v6"": ""4.9%"", ""v7"": ""2,060"", ""v8"": ""4.4%"", ""v9"": ""9.9%"", ""v10"": ""25"", ""v11"": ""1""}","2. 收入和成本分析；适用 不适用；2025年,公司实现营业收入20,821亿元,同比减少4.8% ；发生营业成本18,761亿元,同比减少4.9%。；公司实现毛利润2,060亿元,同比降低4.4% ；毛利率9.9%,与上年同期持平。；收入确认方法等敬请参阅本报告第八节“财务报告”所附财务报表附注三、25“与客户之间的合同产生的收；入”相关内容。；(1). 主营业务分行业、分产品、分地区情况；单位：千元 币种：人民币；主营业务分行业情况"
annual_cscec_2025_report_field_f457910744,利率,千元,33,第三节 管理层讨论与分析 > 2. 收入和成本分析,所附财务报表,0.68,"{""v1"": ""1.0"", ""v2"": ""1,234,205,792"", ""v3"": ""1,129,949,766""}","毛利率（%）；上年同期增减；上年同期增减；同期增减（%）；（%）；（%）；房屋建筑工程；增加1.0个百分点；1,234,205,792；1,129,949,766"
